area_id,area,color_r,color_b,color_g
1,A1-2,189,59,233
2,A10,255,59,109
3,A11,233,59,191
4,A13L,233,118,207
5,A13M,255,0,199
6,A13a,212,0,168
7,A13b,233,0,188
8,A14C,233,0,148
9,A14R,233,89,183
10,A19DI,209,133,255
11,A19M,147,0,239
12,A23V,255,59,231
13,A23a,255,178,246
14,A23b,239,59,220
15,A23c,223,118,213
16,A24a,255,178,179
17,A24b,223,0,8
18,A24c,255,89,99
19,A24d,255,0,22
20,A25,255,178,230
21,A29a-c,223,59,209
22,A29d,239,118,230
23,A30,255,0,239
24,A31,255,118,248
25,A32,255,0,177
26,A32V,255,89,207
27,A35,78,0,212
28,A36,160,118,233
29,A3a,202,59,255
30,A3b,216,118,255
31,A45,114,0,233
32,A46D,233,118,150
33,A46V,255,118,157
34,A47L,214,178,255
35,A47M,115,0,255
36,A47O,160,89,255
37,A4ab,237,118,255
38,A4c,200,0,233
39,A6DC,224,59,255
40,A6DR,176,0,212
41,A6M,208,0,255
42,A6Va,200,59,233
43,A6Vb,239,178,255
44,A8C,208,118,233
45,A8aD,233,59,111
46,A8aV,255,178,202
47,A8b,255,0,83
48,A9,233,0,80
50,AI,233,0,89
51,AIP,254,118,255
52,APir,0,38,255
54,AuA1,223,0,28
55,AuAL,239,44,71
56,AuCL,239,89,110
57,AuCM,239,0,35
58,AuCPB,255,44,77
59,AuML,255,0,41
60,AuR,223,89,112
61,AuRM,223,133,149
62,AuRPB,207,44,74
63,AuRT,255,89,121
64,AuRTL,239,133,154
65,AuRTM,207,0,43
67,DI,233,118,164
70,Ent,80,0,233
71,FST,153,44,223
72,GI,212,0,86
73,Gu,255,59,219
75,IPro,255,178,210
76,LIP,221,118,223
79,MIP,234,59,239
81,MST,169,89,223
83,OPAl,255,118,232
84,OPro,255,178,243
85,OPt,230,0,239
87,PE,233,118,239
88,PEC,210,0,223
89,PF,212,59,223
90,PFG,240,59,255
91,PG,248,178,255
92,PGM,223,0,214
93,PGa-IPa,255,59,158
96,PaIL,255,0,110
97,PaIM,255,118,179
100,Pir,0,165,255
103,ProM,148,89,233
104,ProSt,239,0,231
105,ReI,233,59,139
106,S2E,232,178,255
107,S2I,197,118,233
108,S2PR,157,0,233
109,S2PV,167,0,255
111,STR,255,133,159
112,TE1,233,59,150
113,TE2,233,118,180
114,TE3,233,0,128
115,TEO,255,178,221
116,TF,203,178,255
117,TFO,81,0,255
118,TH,113,59,233
119,TL,117,59,255
120,TLO,157,118,255
121,TPO,255,118,197
122,TPPro,255,0,151
123,TPro,255,59,151
124,TPt,223,44,84
126,V1,187,89,255
127,V2,195,133,239
128,V3,128,0,223
129,V3A,164,44,255
130,V4,142,0,255
131,V4T,152,44,239
132,V5,182,133,223
133,V6,169,89,239
134,V6A,109,0,207
135,VIP,230,0,255
